track,i,ax,ay,az,speed,t,vx,vy,vz,x,y,z
track3,24,-0.14016122,-6.03148509,-11.98570974,0.85784329,0.38333337,0.12333231,0.75464067,0.38884663,0.10790603,1.91874627,1.89282123
track3,25,-0.64161561,-5.42361857,-12.03542364,0.69953671,0.39999997,0.1126387,0.66424685,0.18825584,0.10987245,1.93057036,1.89763043
track3,26,-1.07708358,-4.84926601,-12.0186421,0.59118222,0.41666667,0.09468727,0.58342558,-0.01205526,0.11160017,1.94096765,1.89909877
track3,27,-1.4455526,-4.31929241,-11.93223724,0.55771099,0.43333337,0.07059468,0.51143723,-0.21092628,0.11297753,1.95009152,1.89724058
track3,28,-1.74872005,-3.84486927,-11.77893909,0.60637588,0.44999997,0.04144928,0.44735595,-0.40724233,0.11391123,1.95808148,1.89208917
track3,29,-1.9916638,-3.43830718,-11.56538585,0.71568616,0.46666667,0.00825482,0.39005072,-0.59999914,0.11432543,1.96505988,1.88369547
track3,30,-2.18189997,-3.11250022,-11.30207748,0.85829844,0.48333337,-0.02811025,0.33817561,-0.78836748,0.11415997,1.97112845,1.87212573
track3,31,-2.32637725,-2.87945438,-11.00195308,1.01633996,0.49999997,-0.06688328,0.29018461,-0.97173373,0.11336835,1.9763648,1.85745819
track3,32,-2.4290651,-2.74776417,-10.67776932,1.18027816,0.51666667,-0.10736778,0.24438845,-1.14969691,0.11191626,1.98081958,1.83977956
track3,33,-2.48922106,-2.72089066,-10.34191551,1.34522268,0.53333337,-0.14885488,0.19904018,-1.32206251,0.10978106,1.98451483,1.81918153
track3,34,-2.50062031,-2.79529284,-10.00169921,1.50862317,0.54999997,-0.19053197,0.15245187,-1.48875783,0.10695284,1.98744393,1.79575798
track3,35,-2.45330195,-2.96234697,-9.65882495,1.66907702,0.56666667,-0.23142042,0.10307932,-1.64973857,0.10343656,1.98957336,1.76960379
track3,36,-2.33897668,-3.21463677,-9.31445064,1.82579305,0.58333337,-0.27040344,0.04950194,-1.80497972,0.09925468,1.99084488,1.74081441
track3,37,-2.15452156,-3.55012954,-8.96897826,1.97834431,0.59999997,-0.30631221,-0.00966701,-1.95446299,0.09444871,1.99117683,1.70948566
track3,38,-1.89889255,-3.96996899,-8.62387224,2.12659071,0.61666667,-0.33796048,-0.07583329,-2.09819448,0.08907976,1.99046433,1.67571345
track3,39,-1.57135123,-4.47501203,-8.28444325,2.27071101,0.63333337,-0.36414972,-0.15041697,-2.23626881,0.08322883,1.98857891,1.63959285
track3,40,-1.17403171,-5.06887605,-7.95560645,2.41120833,0.64999997,-0.38371695,-0.23489841,-2.36886252,0.0769966,1.98536794,1.60121668
track3,41,-0.71311827,-5.75588804,-7.6354619,2.54883642,0.66666667,-0.39560228,-0.33083007,-2.49612047,0.07050226,1.98065353,1.56067507
track3,42,-0.19755555,-6.53645041,-7.31236079,2.68447485,0.68333337,-0.39889488,-0.43977113,-2.6179934,0.06388143,1.97423184,1.51805737
track3,43,0.3628701,-7.40887255,-6.97275246,2.81912498,0.69999997,-0.39284703,-0.56325258,-2.73420617,0.05728357,1.96587329,1.47345562
track3,44,0.95886945,-8.37028151,-6.60958237,2.9540336,0.71666667,-0.37686584,-0.70275755,-2.8443661,0.05086928,1.95532318,1.42696742
track3,45,1.58288311,-9.41396199,-6.22243693,3.0907908,0.73333337,-0.35048441,-0.85965723,-2.94807359,0.04480802,1.94230303,1.37869699
track3,46,2.22927776,-10.52680419,-5.81835922,3.23139664,0.74999997,-0.3133297,-1.03510432,-3.04504643,0.03927622,1.92651332,1.32875423
track3,47,2.89461371,-11.68630932,-5.40819516,3.37820079,0.76666667,-0.26508604,-1.22987653,-3.1351832,0.03445608,1.90763844,1.27725221
track3,48,3.5779112,-12.86058155,-5.00249757,3.53370916,0.78333337,-0.20545407,-1.44421999,-3.21855833,0.03053491,1.88535426,1.22430426
track3,49,4.27908168,-14.01490454,-4.61101347,3.70036906,0.79999997,-0.1341359,-1.6778022,-3.2954087,0.02770499,1.85933736,1.17002109
track3,50,4.99728366,-15.1172726,-4.24305431,3.88038085,0.81666667,-0.05084767,-1.92975724,-3.36612642,0.02616345,1.8292743,1.11450819
track3,51,5.728582,-16.1403643,-3.909086,4.07556411,0.83333337,0.04462888,-2.19876385,-3.43127798,0.02611163,1.79486989,1.05786304
track3,52,6.46433911,-17.06213021,-3.61782969,4.28722109,0.84999997,0.15236808,-2.48313326,-3.49157526,0.02775327,1.755854,1.00017248
track3,53,7.1907803,-17.86757081,-3.36950363,4.5159793,0.86666667,0.27221466,-2.7809267,-3.54773377,0.03129147,1.71198675,0.94151145
track3,54,7.88821799,-18.54700302,-3.15186832,4.76164279,0.88333337,0.40368523,-3.09004404,-3.60026501,0.03692398,1.6630619,0.88194468
